38 Provinsi,
,Jumlah Desa Mandiri Menurut Provinsi (Desa)
,2019
ACEH,25
SUMATERA UTARA,6
SUMATERA BARAT,32
RIAU,5
JAMBI,4
SUMATERA SELATAN,6
BENGKULU,0
LAMPUNG,9
KEP. BANGKA BELITUNG,16
KEP. RIAU,0
DKI JAKARTA,-
JAWA BARAT,341
JAWA TENGAH,296
DI YOGYAKARTA,127
JAWA TIMUR,345
BANTEN,18
BALI,88
NUSA TENGGARA BARAT,41
NUSA TENGGARA TIMUR,0
KALIMANTAN BARAT,14
KALIMANTAN TENGAH,5
KALIMANTAN SELATAN,13
KALIMANTAN TIMUR,13
KALIMANTAN UTARA,4
SULAWESI UTARA,7
SULAWESI TENGAH,1
SULAWESI SELATAN,16
SULAWESI TENGGARA,0
GORONTALO,3
SULAWESI BARAT,1
MALUKU,6
MALUKU UTARA,2
PAPUA BARAT,0
PAPUA BARAT DAYA,-
PAPUA,0
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,1444
