38 Provinsi,,,
,Jumlah Desa Tertinggal menurut Provinsi (Desa),,
,Desa Sangat Tertinggal,Desa Tertinggal,Jumlah
,2021,2021,2021
ACEH,20,688,708
SUMATERA UTARA,321,1527,1848
SUMATERA BARAT,1,26,27
RIAU,1,64,65
JAMBI,3,83,86
SUMATERA SELATAN,0,137,137
BENGKULU,2,100,102
LAMPUNG,0,25,25
KEP. BANGKA BELITUNG,0,0,0
KEP. RIAU,0,2,2
DKI JAKARTA,-,-,-
JAWA BARAT,0,1,1
JAWA TENGAH,0,5,5
DI YOGYAKARTA,0,0,0
JAWA TIMUR,0,73,73
BANTEN,0,29,29
BALI,0,0,0
NUSA TENGGARA BARAT,0,6,6
NUSA TENGGARA TIMUR,4,951,955
KALIMANTAN BARAT,37,576,613
KALIMANTAN TENGAH,18,317,335
KALIMANTAN SELATAN,9,106,115
KALIMANTAN TIMUR,0,89,89
KALIMANTAN UTARA,41,181,222
SULAWESI UTARA,0,45,45
SULAWESI TENGAH,7,126,133
SULAWESI SELATAN,1,108,109
SULAWESI TENGGARA,4,136,140
GORONTALO,0,8,8
SULAWESI BARAT,2,110,112
MALUKU,26,418,444
MALUKU UTARA,4,302,306
PAPUA BARAT,564,941,1505
PAPUA BARAT DAYA,-,-,-
PAPUA,3996,974,4970
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5061,8154,13215
