38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Memiliki Fasilitas Internet di Kantor Desa/Lurah menurut Provinsi dan Klasifikasi Daerah (Desa),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,576,2429,3005
SUMATERA UTARA,756,2131,2887
SUMATERA BARAT,350,677,1027
RIAU,236,1088,1324
JAMBI,166,766,932
SUMATERA SELATAN,218,990,1208
BENGKULU,129,702,831
LAMPUNG,194,1672,1866
KEP. BANGKA BELITUNG,125,140,265
KEP. RIAU,132,174,306
DKI JAKARTA,267,-,267
JAWA BARAT,2629,3015,5644
JAWA TENGAH,2696,5850,8546
DI YOGYAKARTA,191,247,438
JAWA TIMUR,2788,5355,8143
BANTEN,571,949,1520
BALI,269,443,712
NUSA TENGGARA BARAT,332,623,955
NUSA TENGGARA TIMUR,131,664,795
KALIMANTAN BARAT,150,1033,1183
KALIMANTAN TENGAH,72,667,739
KALIMANTAN SELATAN,256,1270,1526
KALIMANTAN TIMUR,192,535,727
KALIMANTAN UTARA,34,191,225
SULAWESI UTARA,170,477,647
SULAWESI TENGAH,136,1107,1243
SULAWESI SELATAN,427,1523,1950
SULAWESI TENGGARA,108,477,585
GORONTALO,133,455,588
SULAWESI BARAT,41,289,330
MALUKU,84,383,467
MALUKU UTARA,70,242,312
PAPUA BARAT,36,172,208
PAPUA BARAT DAYA,-,-,-
PAPUA,92,271,363
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,14757,37007,51764
