38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Memiliki Menara Base Transceiver Station (BTS) menurut Provinsi dan Klasifikasi Daerah (Desa),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,441,1152,1593
SUMATERA UTARA,814,1811,2625
SUMATERA BARAT,300,640,940
RIAU,235,1028,1263
JAMBI,115,633,748
SUMATERA SELATAN,279,1222,1501
BENGKULU,99,350,449
LAMPUNG,279,1122,1401
KEP. BANGKA BELITUNG,119,229,348
KEP. RIAU,131,176,307
DKI JAKARTA,244,-,244
JAWA BARAT,2350,2251,4601
JAWA TENGAH,1987,2655,4642
DI YOGYAKARTA,171,177,348
JAWA TIMUR,2119,2707,4826
BANTEN,527,579,1106
BALI,244,331,575
NUSA TENGGARA BARAT,298,619,917
NUSA TENGGARA TIMUR,166,921,1087
KALIMANTAN BARAT,136,823,959
KALIMANTAN TENGAH,84,470,554
KALIMANTAN SELATAN,199,663,862
KALIMANTAN TIMUR,175,463,638
KALIMANTAN UTARA,29,187,216
SULAWESI UTARA,250,453,703
SULAWESI TENGAH,103,603,706
SULAWESI SELATAN,421,1261,1682
SULAWESI TENGGARA,119,506,625
GORONTALO,96,206,302
SULAWESI BARAT,45,190,235
MALUKU,81,502,583
MALUKU UTARA,63,372,435
PAPUA BARAT,58,374,432
PAPUA BARAT DAYA,-,-,-
PAPUA,111,498,609
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,12888,26174,39062
