38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Menerima Sinyal Telepon Selular Menurut Provinsi (Sinyal Lemah) (Desa),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,23,1145,1168
SUMATERA UTARA,29,1542,1571
SUMATERA BARAT,7,214,221
RIAU,10,344,354
JAMBI,12,337,349
SUMATERA SELATAN,8,865,873
BENGKULU,3,358,361
LAMPUNG,2,457,459
KEP. BANGKA BELITUNG,4,31,35
KEP. RIAU,16,122,138
DKI JAKARTA,1,-,1
JAWA BARAT,51,497,548
JAWA TENGAH,16,700,716
DI YOGYAKARTA,-,36,36
JAWA TIMUR,32,682,714
BANTEN,21,323,344
BALI,1,28,29
NUSA TENGGARA BARAT,3,121,124
NUSA TENGGARA TIMUR,6,1468,1474
KALIMANTAN BARAT,7,990,997
KALIMANTAN TENGAH,8,645,653
KALIMANTAN SELATAN,-,330,330
KALIMANTAN TIMUR,9,311,320
KALIMANTAN UTARA,2,171,173
SULAWESI UTARA,9,383,392
SULAWESI TENGAH,4,637,641
SULAWESI SELATAN,3,581,584
SULAWESI TENGGARA,8,741,749
GORONTALO,2,147,149
SULAWESI BARAT,-,252,252
MALUKU,7,445,452
MALUKU UTARA,10,522,532
PAPUA BARAT,6,483,489
PAPUA BARAT DAYA,-,-,-
PAPUA,10,1368,1378
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,330,17276,17606
