38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Tidak Memiliki Menara BTS Menurut Provinsi dan Penerimaan Sinyal Telepon Selular (Perdesaan) (Desa),,
,Ada Sinyal Kuat,Ada Sinyal Lemah,Tidak Ada Sinyal
,2021,2021,2021
ACEH,3505,1030,78
SUMATERA UTARA,1793,1347,148
SUMATERA BARAT,167,87,19
RIAU,318,231,28
JAMBI,429,275,38
SUMATERA SELATAN,940,736,21
BENGKULU,656,336,12
LAMPUNG,808,403,3
KEP. BANGKA BELITUNG,15,19,-
KEP. RIAU,41,63,-
DKI JAKARTA,-,-,-
JAWA BARAT,732,297,5
JAWA TENGAH,2643,565,-
DI YOGYAKARTA,49,21,-
JAWA TIMUR,2435,531,1
BANTEN,194,203,3
BALI,100,16,-
NUSA TENGGARA BARAT,134,61,1
NUSA TENGGARA TIMUR,990,1269,71
KALIMANTAN BARAT,236,754,180
KALIMANTAN TENGAH,261,581,165
KALIMANTAN SELATAN,771,275,34
KALIMANTAN TIMUR,112,225,47
KALIMANTAN UTARA,105,129,23
SULAWESI UTARA,637,343,40
SULAWESI TENGAH,586,546,141
SULAWESI SELATAN,761,469,74
SULAWESI TENGGARA,831,710,75
GORONTALO,251,134,8
SULAWESI BARAT,98,216,96
MALUKU,216,337,89
MALUKU UTARA,248,407,63
PAPUA BARAT,535,443,551
PAPUA BARAT DAYA,-,-,-
PAPUA,551,1267,3075
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,22148,14326,5089
