No ,Provinsi ,Waktu , TAPM_Pusat , TAPM_Provinsi ,"
TAPM_Kabupaten_Kota","
PD","
 PLD",Total 
0,JAKARTA/PUSAT,Juni 2024,37,,,,,37
1,ACEH,Juni 2024,,9,112,856,"1,573","2,550"
2,SUMATERA UTARA,Juni 2024,,8,138,891,"1,402","2,439"
3,SUMATERA BARAT,Juni 2024,,6,76,271,305,658
4,RIAU,Juni 2024,,6,54,277,412,749
5,JAMBI,Juni 2024,,5,53,256,368,682
6,SUMATERA SELATAN,Juni 2024,,7,73,427,701,"1,208"
7,BENGKULU,Juni 2024,,5,46,230,329,610
8,LAMPUNG,Juni 2024,,7,75,425,608,"1,115"
9,KEPULAUAN BANGKA BELITUNG,Juni 2024,,4,30,75,86,195
10,KEPULAUAN RIAU,Juni 2024,,4,27,68,83,182
11,JAWA BARAT,Juni 2024,,9,106,859,"1,363","2,337"
12,JAWA TENGAH,Juni 2024,,8,153,"1,206","1,892","3,259"
13,DAERAH ISTIMEWA YOGYAKARTA,Juni 2024,,5,22,103,103,233
14,JAWA TIMUR,Juni 2024,,9,159,"1,334","1,955","3,457"
15,BANTEN,Juni 2024,,5,23,205,330,563
16,BALI,Juni 2024,,5,40,103,136,284
17,NUSA TENGGARA BARAT,Juni 2024,,2,46,201,255,504
18,NUSA TENGGARA TIMUR,Juni 2024,,8,99,611,802,"1,520"
19,KALIMANTAN BARAT,Juni 2024,,5,59,292,482,838
20,KALIMANTAN TENGAH,Juni 2024,,5,59,231,376,671
21,KALIMANTAN SELATAN,Juni 2024,,5,53,285,449,792
22,KALIMANTAN TIMUR,Juni 2024,,4,29,132,205,370
23,KALIMANTAN UTARA,Juni 2024,,4,20,67,111,202
24,SULAWESI UTARA,Juni 2024,,5,65,263,381,714
25,SULAWESI TENGAH,Juni 2024,,5,61,272,457,795
26,SULAWESI SELATAN,Juni 2024,,7,114,490,608,"1,219"
27,SULAWESI TENGGARA,Juni 2024,,7,81,336,498,922
28,GORONTALO,Juni 2024,,4,24,120,178,326
29,SULAWESI BARAT,Juni 2024,,5,28,124,139,296
30,MALUKU,Juni 2024,,6,50,199,326,581
31,MALUKU UTARA,Juni 2024,,5,45,196,266,512
32,PAPUA,Juni 2024,,8,41,198,241,488
33,PAPUA BARAT,Juni 2024,,5,29,118,176,328
34,PAPUA SELATAN,Juni 2024,,2,17,105,185,309
35,PAPUA TENGAH,Juni 2024,,2,33,201,271,507
36,PAPUA PEGUNUNGAN,Juni 2024,,2,32,414,655,"1,103"
37,PAPUA BARAT DAYA,Juni 2024,,2,28,166,259,455
JUMLAH TOTAL,,,37,200,"2,200","12,607","18,966","34,010"
