NO,NAMA_BALAI,JENIS_PELATIHAN,WAKTU_PELAKSANAAN,ID_PROVINSI,PROVINSI,ID_KABUPATEN,KABUPATEN,ID_KECAMATAN,KECAMATAN,ID_DESA,DESA, JUMLAH 
1,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321620,CIKARANG PUSAT,3216202004,HEGARMUKTI, 2 
2,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321602,BABELAN,3216022004,HURIP JAYA, 2 
3,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321621,SERANG BARU,3212022007,JAYAMULYA, 2 
4,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321611,CIKARANG TIMUR,1810052008,KARANGSARI, 2 
5,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321618,SETU,3206192010,KERTARAHAYU, 2 
6,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321606,TAMBUN SELATAN,3202042002,MANGUNJAYA, 2 
7,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,320225,CIBITUNG,3216072004,MUKTIWARI, 2 
8,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321601,TARUMAJAYA,3216012006,SAMUDRA JAYA, 2 
9,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321619,CIKARANG SELATAN,3206142002,SERANG, 2 
10,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321605,TAMBUN UTARA,3216052004,SRIAMUR, 2 
11,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,117201,SUKAKARYA,3201262004,SUKAKARYA, 2 
12,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321405,SUKATANI,1602022008,SUKAMULYA, 2 
13,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321604,TAMBELANG,3216042001,SUKAWIJAYA, 2 
14,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321613,PEBAYURAN,3216132004,SUMBEREJA, 2 
15,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216,BEKASI,321608,CIKARANG BARAT,3216082010,TELAJUNG, 2 
16,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102,MEMPAWAH,610218,Mempawah Timur,6102182003,Antibar, 6 
17,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102,Mempawah,610207,Sungai pinyuh,6102072006,Peniraman, 8 
