Kode_Prov,PROVINSI,KABUPATEN,KECAMATAN,Kode_Desa,DESA,NAMA_BUMDESA,Tenaga_Kerja
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022001,FAJAR HARAPAN,BUM DESA RIMBA UTAMA FAJAR HARAPAN,
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022003,PASI KUALA ASAHAN,BUM DESA GIAT BERSAMA PASI KUALA ASAHAN,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022004,GUNUNG PULO,BUM DESA RAMPAK SERANGKAI GUNUNG PULO,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022005,PULO IE I,BUM DESA JASA TAHIRO PULO IE I,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022006,JAMBO MANYANG,BUM DESA JAMBO ASAHAN JAMBO MANYANG,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022007,SIMPANG EMPAT,BUM DESA MAKMUE BEUSARE SIMPANG EMPAT,2
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022008,LIMAU PURUT,BUM DESA YAKIN BEUSAREE LIMAU PURUT,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022009,PULO KAMBING,BUM DESA TUNAS MUDO PULO KAMBING,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022010,KAMPUNG PAYA,BUM DESA MUTIARA JAYA KAMPUNG PAYA,6
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022011,KRUENG BATU,BUM DESA SEJAHTERA MANDIRI KRUENG BATU,
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022012,KRUENG KLUET,BUM DESA SINAR MUDA KRUENG KLUET,15
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022014,KAMPUNG TINGGI,BUM DESA RIZKI BERSAMA KAMPUNG TINGGI,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022016,SIMPANG LHEE,BUM DESA MAJU JAYA SIMPANG LHEE,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022017,SUAQ GEURINGGENG,BUM DESA MAJU JAYA SUAQ GEURINGGENG,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022018,PASI KUALA BA'U,BUM DESA MADAT LAMKUTA PASI KUALA BA'U,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022019,KEDAI PADANG,BUM DESA ALMADANI KEDAI PADANG,2
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022020,KOTAFAJAR,BUM DESA BUMG COT KEDUNDONG KOTAFAJAR,3
11,ACEH,ACEH SELATAN,KLUET UTARA,1101022021,GUNUNG PUDUNG,BUM DESA HARAPAN BARU GUNUNG PUDUNG,10
11,ACEH,ACEH SELATAN,MEUKEK,1101052021,ALUE MEUTUAH,BUM DESA ALAM JAYA ALUE MEUTUAH,
11,ACEH,ACEH SELATAN,SAMADUA,1101062004,GUNUNG KETEK,BUM DESA USAHA BERSAMA GUNUNG KETEK,1
11,ACEH,ACEH SELATAN,SAMA DUA,1101062005,LADANG PANTON LUAS,BUM DESA HIJRAH BERSAMA LADANG PANTON LUAS,
11,ACEH,ACEH SELATAN,SAMADUA,1101062006,MADAT,BUM DESA MADAT MANDIRI MADAT,5
