_id,Id_prov,Nama_prov,Bak/Tong Sampah,Balai Kemasyarakatan,Bangunan Air Bersih,Bangunan Irigasi,Bangunan Olahraga,Bangunan Polindes,Bangunan Posyandu,Bangunan Utama Wisata,Bendung Sederhana,Bronjong,Embung,Gedung BUMDES,Gedung Perpustakaan,Gedung Sekolah TK / PAUD,Gorong-gorong,Instalasi Penjernihan Air,Instalasi Pompa Hidram,Jalan Lingkungan,Jalan Poros Desa,Jalan Poros Dusun,Jalan Setapak,Jalan Usaha Tani,Jamban Keluarga,Jaringan Internet untuk Warga Desa,Jembatan Gantung,Jembatan Roda 2,Jembatan Roda 4,Krib pengarah,Lumbung Pangan,MCK,Pangkalan ojek,Pasar,Pembangkit Listrik,Penampungan Air Hujan (PAH),Penerangan Jalan Umum (PJU) / Bantuan Listrik RT,Perbaikan Rumah Tinggal,Perpipaan,PKTD Industri Pengelolahan dan Pergudangan untuk Pangan,PKTD Lain lain,PKTD Perdagangan Logistik dan Pangan,PKTD Perhutanan,PKTD Perikanan,PKTD Pertanian dan perkebunan,PKTD Peternakan,PKTD Prasarana Umum,PKTD Restoran dan Wisata Desa,Saluran Drainase,Saluran Irigasi,Sarpras Lainnya,Sarpras Pendukung Embung,Sarpras Pendukung Olahraga,Sarpras Pendukung Pariwisata,Sarpras Pendukung Pasar,Sarpras Pendukung Perpustakaan,Sarpras Pendukung Polindes,Sarpras Pendukung Posyandu,Sarpras Pendukung TK / PAUD,Sumur,Sumur Resapan / Biofori,Taman bermain / Ruang terbuka Hijau,Tambatan Perahu,Tembok Penahan Tanah,Tempat Pembuangan Sampah,Tempat Pengolahan Sampah,Tempat Penjemuran Tanaman Pangan,Grand Total
1,11,ACEH,10,1177,376,93,244,68,179,4,6,37,41,56,30,174,464,43,24,1061,721,1224,127,2760,169,18,48,232,494,2,302,789,2,77,49,9,653,1202,296,5,527,2,3,19,130,10,234,3,1810,1142,3443,41,267,38,90,15,102,111,202,128,11,31,20,495,7,2,12,22161
2,12,SUMATERA UTARA,25,263,462,54,47,22,47,2,11,59,20,16,34,86,246,24,5,1409,1156,1961,152,2962,77,172,32,142,197,2,34,249,,9,45,24,315,123,179,2,368,1,,7,27,8,54,2,1313,394,1419,3,81,39,7,40,72,161,100,193,5,22,14,430,6,11,4,15446
3,13,SUMATERA BARAT,9,45,48,35,28,50,65,5,5,15,6,3,14,84,26,8,5,333,190,133,6,905,139,23,25,28,52,1,15,74,,10,5,,34,139,62,1,50,,,8,36,9,32,7,178,455,316,7,38,73,13,15,37,104,107,7,1,10,2,43,4,4,4,4186
4,14,RIAU,2,79,177,7,95,25,199,4,10,5,12,15,21,115,178,6,4,1200,259,323,80,614,9,17,2,182,181,2,36,106,,29,3,8,67,43,52,1,136,,1,29,88,58,67,,766,54,687,8,115,66,31,22,25,132,135,185,2,37,39,126,1,1,1,6980
5,15,JAMBI,10,90,159,18,107,29,85,10,3,12,9,15,23,110,97,11,3,505,109,113,149,817,28,31,48,112,57,,38,67,1,13,6,3,50,33,42,2,53,,1,14,44,13,16,1,277,32,559,8,121,32,20,13,38,104,135,111,1,18,19,58,13,12,1,4729
6,16,SUMATERA SELATAN,43,139,242,11,210,56,106,4,8,17,16,27,14,114,581,9,7,1234,350,656,594,1827,60,55,44,312,145,1,7,249,,24,11,7,284,167,101,1,125,3,3,34,31,47,33,,1122,96,2634,7,153,47,30,70,107,244,232,549,6,14,54,300,10,1,2,13687
7,17,BENGKULU,3,111,196,15,63,15,65,6,,6,7,10,22,76,107,1,2,504,96,53,,955,45,22,37,36,75,2,23,81,,1,4,,231,44,71,2,67,,,78,88,79,17,1,327,95,281,8,34,34,10,13,13,61,77,88,,6,,90,2,1,2,4459
8,18,LAMPUNG,9,172,238,11,75,27,107,3,5,20,17,6,10,72,1192,10,2,815,157,339,19,2388,130,19,19,59,210,,15,80,,15,,1,313,269,87,,203,,,8,127,4,577,12,761,179,1096,5,92,49,16,22,25,77,68,498,,49,3,551,6,,2,11341
9,19,KEPULAUAN BANGKA BELITUNG,9,5,37,,25,3,51,1,2,,2,8,3,65,31,3,1,78,18,17,72,158,19,6,,9,10,,18,29,,4,,1,13,8,9,,16,,,2,10,1,38,6,122,2,328,3,41,53,7,18,6,73,113,125,,6,7,26,1,4,,1723
10,21,KEPULAUAN RIAU,12,15,37,,16,12,52,3,1,2,,7,1,27,17,1,5,139,10,20,4,42,6,1,,12,12,,29,13,,2,5,3,15,20,16,,14,,,14,39,4,24,1,69,11,169,2,16,33,3,2,8,34,36,18,,3,42,34,1,4,1,1139
11,32,JAWA BARAT,88,296,557,133,483,103,1123,45,26,73,47,65,40,384,527,44,15,4341,2544,1074,553,3135,78,102,38,402,334,,149,494,1,53,5,4,454,758,417,12,378,3,13,64,250,87,278,17,1916,1243,2162,22,411,267,74,40,93,323,217,305,15,87,4,2027,171,199,10,29673
12,33,JAWA TENGAH,212,446,779,385,690,300,135,94,69,141,102,206,128,718,1291,91,39,6561,3257,3160,175,6671,828,267,26,340,997,4,283,427,,205,45,13,671,2301,439,13,561,7,7,69,501,101,388,16,3310,2238,4424,82,1171,742,358,184,453,497,1050,421,32,224,7,3530,153,301,17,53353
