38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Memiliki Menara BTS Menurut Provinsi dan Penerimaan Sinyal Telepon Selular (Perdesaan) (Desa),,
,Ada Sinyal Kuat,Ada Sinyal Lemah,Tidak Ada Sinyal
,2021,2021,2021
ACEH,1036,115,1
SUMATERA UTARA,1614,195,2
SUMATERA BARAT,509,127,4
RIAU,915,113,-
JAMBI,571,62,-
SUMATERA SELATAN,1093,129,-
BENGKULU,328,22,-
LAMPUNG,1068,54,-
KEP. BANGKA BELITUNG,217,12,-
KEP. RIAU,117,59,-
DKI JAKARTA,-,-,-
JAWA BARAT,2051,200,-
JAWA TENGAH,2520,135,-
DI YOGYAKARTA,162,15,-
JAWA TIMUR,2556,151,-
BANTEN,459,120,-
BALI,319,12,-
NUSA TENGGARA BARAT,559,60,-
NUSA TENGGARA TIMUR,721,199,1
KALIMANTAN BARAT,577,236,10
KALIMANTAN TENGAH,402,64,4
KALIMANTAN SELATAN,608,55,-
KALIMANTAN TIMUR,375,86,2
KALIMANTAN UTARA,145,42,-
SULAWESI UTARA,412,40,1
SULAWESI TENGAH,505,91,7
SULAWESI SELATAN,1149,112,-
SULAWESI TENGGARA,472,31,3
GORONTALO,193,13,-
SULAWESI BARAT,154,36,-
MALUKU,392,108,2
MALUKU UTARA,256,115,1
PAPUA BARAT,333,40,1
PAPUA BARAT DAYA,-,-,-
PAPUA,377,101,20
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,23165,2950,59
