38 Provinsi,,,
,Banyaknya Desa/Kelurahan yang Menerima Sinyal Telepon Selular Menurut Provinsi (Sinyal Kuat) (Desa),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,725,4541,5266
SUMATERA UTARA,1004,3407,4411
SUMATERA BARAT,367,676,1043
RIAU,261,1233,1494
JAMBI,174,1000,1174
SUMATERA SELATAN,365,2033,2398
BENGKULU,157,984,1141
LAMPUNG,316,1876,2192
KEP. BANGKA BELITUNG,126,232,358
KEP. RIAU,132,158,290
DKI JAKARTA,266,-,266
JAWA BARAT,2621,2783,5404
JAWA TENGAH,2683,5163,7846
DI YOGYAKARTA,191,211,402
JAWA TIMUR,2790,4991,7781
BANTEN,552,653,1205
BALI,268,419,687
NUSA TENGGARA BARAT,333,693,1026
NUSA TENGGARA TIMUR,193,1711,1904
KALIMANTAN BARAT,148,813,961
KALIMANTAN TENGAH,91,663,754
KALIMANTAN SELATAN,264,1379,1643
KALIMANTAN TIMUR,190,487,677
KALIMANTAN UTARA,36,250,286
SULAWESI UTARA,358,1049,1407
SULAWESI TENGAH,139,1091,1230
SULAWESI SELATAN,483,1910,2393
SULAWESI TENGGARA,179,1303,1482
GORONTALO,133,444,577
SULAWESI BARAT,50,252,302
MALUKU,96,608,704
MALUKU UTARA,102,504,606
PAPUA BARAT,76,868,944
PAPUA BARAT DAYA,-,-,-
PAPUA,150,928,1078
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,16019,45313,61332
