Provinsi,Jumlah Desa Mandiri Menurut Provinsi (Desa)_2019
ACEH,25.0
SUMATERA UTARA,6.0
SUMATERA BARAT,32.0
RIAU,5.0
JAMBI,4.0
SUMATERA SELATAN,6.0
BENGKULU,0.0
LAMPUNG,9.0
KEP. BANGKA BELITUNG,16.0
KEP. RIAU,0.0
DKI JAKARTA,0.0
JAWA BARAT,341.0
JAWA TENGAH,296.0
DI YOGYAKARTA,127.0
JAWA TIMUR,345.0
BANTEN,18.0
BALI,88.0
NUSA TENGGARA BARAT,41.0
NUSA TENGGARA TIMUR,0.0
KALIMANTAN BARAT,14.0
KALIMANTAN TENGAH,5.0
KALIMANTAN SELATAN,13.0
KALIMANTAN TIMUR,13.0
KALIMANTAN UTARA,4.0
SULAWESI UTARA,7.0
SULAWESI TENGAH,1.0
SULAWESI SELATAN,16.0
SULAWESI TENGGARA,0.0
GORONTALO,3.0
SULAWESI BARAT,1.0
MALUKU,6.0
MALUKU UTARA,2.0
PAPUA BARAT,0.0
PAPUA BARAT DAYA,0.0
PAPUA,0.0
PAPUA SELATAN,0.0
PAPUA TENGAH,0.0
PAPUA PEGUNUNGAN,0.0
INDONESIA,1444.0
