Provinsi,Desa Sangat Tertinggal_2020,Desa Tertinggal_2020,Jumlah_2020
ACEH,21.0,894.0,915.0
SUMATERA UTARA,401.0,1765.0,2166.0
SUMATERA BARAT,0.0,42.0,42.0
RIAU,5.0,93.0,98.0
JAMBI,4.0,111.0,115.0
SUMATERA SELATAN,1.0,247.0,248.0
BENGKULU,1.0,220.0,221.0
LAMPUNG,0.0,87.0,87.0
KEP. BANGKA BELITUNG,0.0,0.0,0.0
KEP. RIAU,0.0,9.0,9.0
DKI JAKARTA,0.0,0.0,0.0
JAWA BARAT,0.0,5.0,5.0
JAWA TENGAH,0.0,16.0,16.0
DI YOGYAKARTA,0.0,0.0,0.0
JAWA TIMUR,0.0,94.0,94.0
BANTEN,0.0,39.0,39.0
BALI,0.0,0.0,0.0
NUSA TENGGARA BARAT,0.0,16.0,16.0
NUSA TENGGARA TIMUR,6.0,1121.0,1127.0
KALIMANTAN BARAT,69.0,742.0,811.0
KALIMANTAN TENGAH,13.0,394.0,407.0
KALIMANTAN SELATAN,9.0,129.0,138.0
KALIMANTAN TIMUR,1.0,110.0,111.0
KALIMANTAN UTARA,41.0,223.0,264.0
SULAWESI UTARA,0.0,71.0,71.0
SULAWESI TENGAH,9.0,187.0,196.0
SULAWESI SELATAN,4.0,163.0,167.0
SULAWESI TENGGARA,6.0,202.0,208.0
GORONTALO,0.0,20.0,20.0
SULAWESI BARAT,5.0,143.0,148.0
MALUKU,41.0,507.0,548.0
MALUKU UTARA,11.0,375.0,386.0
PAPUA BARAT,690.0,868.0,1558.0
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,4131.0,884.0,5015.0
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,5469.0,9777.0,15246.0
