Provinsi,SD_2024,SMP_2024,SMU_2024,SMK_2024,Perguruan Tinggi_2024
ACEH,3382,1421,735,205,119
SUMATERA UTARA,5003,2319,1147,712,202
SUMATERA BARAT,1256,808,415,180,102
RIAU,1811,1210,631,259,80
JAMBI,1484,810,393,169,42
SUMATERA SELATAN,2996,1410,720,252,99
BENGKULU,1187,488,194,93,27
LAMPUNG,2537,1437,695,405,96
KEP. BANGKA BELITUNG,391,217,85,49,16
KEP. RIAU,408,249,132,62,33
DKI JAKARTA,264,255,219,207,129
JAWA BARAT,5948,4314,2191,2070,477
JAWA TENGAH,8423,3692,1343,1204,314
DI YOGYAKARTA,437,310,148,139,66
JAWA TIMUR,8442,4905,2587,1690,465
BANTEN,1544,1259,702,540,134
BALI,710,313,148,131,41
NUSA TENGGARA BARAT,1157,924,587,287,79
NUSA TENGGARA TIMUR,3331,1699,667,341,60
KALIMANTAN BARAT,2079,1153,437,189,58
KALIMANTAN TENGAH,1545,799,274,120,22
KALIMANTAN SELATAN,1878,777,323,111,56
KALIMANTAN TIMUR,1002,551,243,151,48
KALIMANTAN UTARA,312,158,63,31,13
SULAWESI UTARA,1564,716,250,177,70
SULAWESI TENGAH,1928,966,345,168,42
SULAWESI SELATAN,2972,1789,824,333,155
SULAWESI TENGGARA,1875,911,415,154,40
GORONTALO,658,363,109,55,16
SULAWESI BARAT,631,406,168,112,23
MALUKU,1104,626,274,100,45
MALUKU UTARA,1090,616,294,142,25
PAPUA BARAT,501,147,59,20,16
PAPUA BARAT DAYA,460,164,78,32,18
PAPUA,655,239,106,45,27
PAPUA SELATAN,545,110,32,24,10
PAPUA TENGAH,430,135,50,36,16
PAPUA PEGUNUNGAN,530,169,48,15,8
INDONESIA,72470,38835,18131,11010,3289
