Provinsi,Perkotaan_2021,Pedesaan_2021,Perkotaan+Perdesaan_2021
ACEH,576.0,2429.0,3005.0
SUMATERA UTARA,756.0,2131.0,2887.0
SUMATERA BARAT,350.0,677.0,1027.0
RIAU,236.0,1088.0,1324.0
JAMBI,166.0,766.0,932.0
SUMATERA SELATAN,218.0,990.0,1208.0
BENGKULU,129.0,702.0,831.0
LAMPUNG,194.0,1672.0,1866.0
KEP. BANGKA BELITUNG,125.0,140.0,265.0
KEP. RIAU,132.0,174.0,306.0
DKI JAKARTA,267.0,0.0,267.0
JAWA BARAT,2629.0,3015.0,5644.0
JAWA TENGAH,2696.0,5850.0,8546.0
DI YOGYAKARTA,191.0,247.0,438.0
JAWA TIMUR,2788.0,5355.0,8143.0
BANTEN,571.0,949.0,1520.0
BALI,269.0,443.0,712.0
NUSA TENGGARA BARAT,332.0,623.0,955.0
NUSA TENGGARA TIMUR,131.0,664.0,795.0
KALIMANTAN BARAT,150.0,1033.0,1183.0
KALIMANTAN TENGAH,72.0,667.0,739.0
KALIMANTAN SELATAN,256.0,1270.0,1526.0
KALIMANTAN TIMUR,192.0,535.0,727.0
KALIMANTAN UTARA,34.0,191.0,225.0
SULAWESI UTARA,170.0,477.0,647.0
SULAWESI TENGAH,136.0,1107.0,1243.0
SULAWESI SELATAN,427.0,1523.0,1950.0
SULAWESI TENGGARA,108.0,477.0,585.0
GORONTALO,133.0,455.0,588.0
SULAWESI BARAT,41.0,289.0,330.0
MALUKU,84.0,383.0,467.0
MALUKU UTARA,70.0,242.0,312.0
PAPUA BARAT,36.0,172.0,208.0
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,92.0,271.0,363.0
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,14757.0,37007.0,51764.0
