Provinsi,Perkotaan_2021,Pedesaan_2021,Perkotaan+Perdesaan_2021
ACEH,441.0,1152.0,1593.0
SUMATERA UTARA,814.0,1811.0,2625.0
SUMATERA BARAT,300.0,640.0,940.0
RIAU,235.0,1028.0,1263.0
JAMBI,115.0,633.0,748.0
SUMATERA SELATAN,279.0,1222.0,1501.0
BENGKULU,99.0,350.0,449.0
LAMPUNG,279.0,1122.0,1401.0
KEP. BANGKA BELITUNG,119.0,229.0,348.0
KEP. RIAU,131.0,176.0,307.0
DKI JAKARTA,244.0,0.0,244.0
JAWA BARAT,2350.0,2251.0,4601.0
JAWA TENGAH,1987.0,2655.0,4642.0
DI YOGYAKARTA,171.0,177.0,348.0
JAWA TIMUR,2119.0,2707.0,4826.0
BANTEN,527.0,579.0,1106.0
BALI,244.0,331.0,575.0
NUSA TENGGARA BARAT,298.0,619.0,917.0
NUSA TENGGARA TIMUR,166.0,921.0,1087.0
KALIMANTAN BARAT,136.0,823.0,959.0
KALIMANTAN TENGAH,84.0,470.0,554.0
KALIMANTAN SELATAN,199.0,663.0,862.0
KALIMANTAN TIMUR,175.0,463.0,638.0
KALIMANTAN UTARA,29.0,187.0,216.0
SULAWESI UTARA,250.0,453.0,703.0
SULAWESI TENGAH,103.0,603.0,706.0
SULAWESI SELATAN,421.0,1261.0,1682.0
SULAWESI TENGGARA,119.0,506.0,625.0
GORONTALO,96.0,206.0,302.0
SULAWESI BARAT,45.0,190.0,235.0
MALUKU,81.0,502.0,583.0
MALUKU UTARA,63.0,372.0,435.0
PAPUA BARAT,58.0,374.0,432.0
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,111.0,498.0,609.0
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,12888.0,26174.0,39062.0
