Provinsi,Ada Sinyal Kuat_2021,Ada Sinyal Lemah_2021,Tidak Ada Sinyal_2021
ACEH,1036.0,115.0,1.0
SUMATERA UTARA,1614.0,195.0,2.0
SUMATERA BARAT,509.0,127.0,4.0
RIAU,915.0,113.0,
JAMBI,571.0,62.0,
SUMATERA SELATAN,1093.0,129.0,
BENGKULU,328.0,22.0,
LAMPUNG,1068.0,54.0,
KEP. BANGKA BELITUNG,217.0,12.0,
KEP. RIAU,117.0,59.0,
DKI JAKARTA,,,
JAWA BARAT,2051.0,200.0,
JAWA TENGAH,2520.0,135.0,
DI YOGYAKARTA,162.0,15.0,
JAWA TIMUR,2556.0,151.0,
BANTEN,459.0,120.0,
BALI,319.0,12.0,
NUSA TENGGARA BARAT,559.0,60.0,
NUSA TENGGARA TIMUR,721.0,199.0,1.0
KALIMANTAN BARAT,577.0,236.0,10.0
KALIMANTAN TENGAH,402.0,64.0,4.0
KALIMANTAN SELATAN,608.0,55.0,
KALIMANTAN TIMUR,375.0,86.0,2.0
KALIMANTAN UTARA,145.0,42.0,
SULAWESI UTARA,412.0,40.0,1.0
SULAWESI TENGAH,505.0,91.0,7.0
SULAWESI SELATAN,1149.0,112.0,
SULAWESI TENGGARA,472.0,31.0,3.0
GORONTALO,193.0,13.0,
SULAWESI BARAT,154.0,36.0,
MALUKU,392.0,108.0,2.0
MALUKU UTARA,256.0,115.0,1.0
PAPUA BARAT,333.0,40.0,1.0
PAPUA BARAT DAYA,,,
PAPUA,377.0,101.0,20.0
PAPUA SELATAN,,,
PAPUA TENGAH,,,
PAPUA PEGUNUNGAN,,,
INDONESIA,23165.0,2950.0,59.0
