Provinsi,Perkotaan_2021,Pedesaan_2021,Perkotaan+Perdesaan_2021
ACEH,725.0,4541.0,5266.0
SUMATERA UTARA,1004.0,3407.0,4411.0
SUMATERA BARAT,367.0,676.0,1043.0
RIAU,261.0,1233.0,1494.0
JAMBI,174.0,1000.0,1174.0
SUMATERA SELATAN,365.0,2033.0,2398.0
BENGKULU,157.0,984.0,1141.0
LAMPUNG,316.0,1876.0,2192.0
KEP. BANGKA BELITUNG,126.0,232.0,358.0
KEP. RIAU,132.0,158.0,290.0
DKI JAKARTA,266.0,,266.0
JAWA BARAT,2621.0,2783.0,5404.0
JAWA TENGAH,2683.0,5163.0,7846.0
DI YOGYAKARTA,191.0,211.0,402.0
JAWA TIMUR,2790.0,4991.0,7781.0
BANTEN,552.0,653.0,1205.0
BALI,268.0,419.0,687.0
NUSA TENGGARA BARAT,333.0,693.0,1026.0
NUSA TENGGARA TIMUR,193.0,1711.0,1904.0
KALIMANTAN BARAT,148.0,813.0,961.0
KALIMANTAN TENGAH,91.0,663.0,754.0
KALIMANTAN SELATAN,264.0,1379.0,1643.0
KALIMANTAN TIMUR,190.0,487.0,677.0
KALIMANTAN UTARA,36.0,250.0,286.0
SULAWESI UTARA,358.0,1049.0,1407.0
SULAWESI TENGAH,139.0,1091.0,1230.0
SULAWESI SELATAN,483.0,1910.0,2393.0
SULAWESI TENGGARA,179.0,1303.0,1482.0
GORONTALO,133.0,444.0,577.0
SULAWESI BARAT,50.0,252.0,302.0
MALUKU,96.0,608.0,704.0
MALUKU UTARA,102.0,504.0,606.0
PAPUA BARAT,76.0,868.0,944.0
PAPUA BARAT DAYA,,,
PAPUA,150.0,928.0,1078.0
PAPUA SELATAN,,,
PAPUA TENGAH,,,
PAPUA PEGUNUNGAN,,,
INDONESIA,16019.0,45313.0,61332.0
