Provinsi,Ada Sinyal Kuat_2021,Ada Sinyal Lemah_2021,Tidak Ada Sinyal_2021
ACEH,3505.0,1030.0,78.0
SUMATERA UTARA,1793.0,1347.0,148.0
SUMATERA BARAT,167.0,87.0,19.0
RIAU,318.0,231.0,28.0
JAMBI,429.0,275.0,38.0
SUMATERA SELATAN,940.0,736.0,21.0
BENGKULU,656.0,336.0,12.0
LAMPUNG,808.0,403.0,3.0
KEP. BANGKA BELITUNG,15.0,19.0,
KEP. RIAU,41.0,63.0,
DKI JAKARTA,,,
JAWA BARAT,732.0,297.0,5.0
JAWA TENGAH,2643.0,565.0,
DI YOGYAKARTA,49.0,21.0,
JAWA TIMUR,2435.0,531.0,1.0
BANTEN,194.0,203.0,3.0
BALI,100.0,16.0,
NUSA TENGGARA BARAT,134.0,61.0,1.0
NUSA TENGGARA TIMUR,990.0,1269.0,71.0
KALIMANTAN BARAT,236.0,754.0,180.0
KALIMANTAN TENGAH,261.0,581.0,165.0
KALIMANTAN SELATAN,771.0,275.0,34.0
KALIMANTAN TIMUR,112.0,225.0,47.0
KALIMANTAN UTARA,105.0,129.0,23.0
SULAWESI UTARA,637.0,343.0,40.0
SULAWESI TENGAH,586.0,546.0,141.0
SULAWESI SELATAN,761.0,469.0,74.0
SULAWESI TENGGARA,831.0,710.0,75.0
GORONTALO,251.0,134.0,8.0
SULAWESI BARAT,98.0,216.0,96.0
MALUKU,216.0,337.0,89.0
MALUKU UTARA,248.0,407.0,63.0
PAPUA BARAT,535.0,443.0,551.0
PAPUA BARAT DAYA,,,
PAPUA,551.0,1267.0,3075.0
PAPUA SELATAN,,,
PAPUA TENGAH,,,
PAPUA PEGUNUNGAN,,,
INDONESIA,22148.0,14326.0,5089.0
