No ,Provinsi ,Waktu , TAPM_Pusat , TAPM_Provinsi ,TAPM_Kabupaten_Kota,PD,PLD,Total 
0,JAKARTA/PUSAT,Juni 2024,37.0,0.0,0.0,0.0,0.0,37
1,ACEH,Juni 2024,0.0,9.0,112.0,856.0,0.0,"2,550"
2,SUMATERA UTARA,Juni 2024,0.0,8.0,138.0,891.0,0.0,"2,439"
3,SUMATERA BARAT,Juni 2024,0.0,6.0,76.0,271.0,305.0,658
4,RIAU,Juni 2024,0.0,6.0,54.0,277.0,412.0,749
5,JAMBI,Juni 2024,0.0,5.0,53.0,256.0,368.0,682
6,SUMATERA SELATAN,Juni 2024,0.0,7.0,73.0,427.0,701.0,"1,208"
7,BENGKULU,Juni 2024,0.0,5.0,46.0,230.0,329.0,610
8,LAMPUNG,Juni 2024,0.0,7.0,75.0,425.0,608.0,"1,115"
9,KEPULAUAN BANGKA BELITUNG,Juni 2024,0.0,4.0,30.0,75.0,86.0,195
10,KEPULAUAN RIAU,Juni 2024,0.0,4.0,27.0,68.0,83.0,182
11,JAWA BARAT,Juni 2024,0.0,9.0,106.0,859.0,0.0,"2,337"
12,JAWA TENGAH,Juni 2024,0.0,8.0,153.0,0.0,0.0,"3,259"
13,DAERAH ISTIMEWA YOGYAKARTA,Juni 2024,0.0,5.0,22.0,103.0,103.0,233
14,JAWA TIMUR,Juni 2024,0.0,9.0,159.0,0.0,0.0,"3,457"
15,BANTEN,Juni 2024,0.0,5.0,23.0,205.0,330.0,563
16,BALI,Juni 2024,0.0,5.0,40.0,103.0,136.0,284
17,NUSA TENGGARA BARAT,Juni 2024,0.0,2.0,46.0,201.0,255.0,504
18,NUSA TENGGARA TIMUR,Juni 2024,0.0,8.0,99.0,611.0,802.0,"1,520"
19,KALIMANTAN BARAT,Juni 2024,0.0,5.0,59.0,292.0,482.0,838
20,KALIMANTAN TENGAH,Juni 2024,0.0,5.0,59.0,231.0,376.0,671
21,KALIMANTAN SELATAN,Juni 2024,0.0,5.0,53.0,285.0,449.0,792
22,KALIMANTAN TIMUR,Juni 2024,0.0,4.0,29.0,132.0,205.0,370
23,KALIMANTAN UTARA,Juni 2024,0.0,4.0,20.0,67.0,111.0,202
24,SULAWESI UTARA,Juni 2024,0.0,5.0,65.0,263.0,381.0,714
25,SULAWESI TENGAH,Juni 2024,0.0,5.0,61.0,272.0,457.0,795
26,SULAWESI SELATAN,Juni 2024,0.0,7.0,114.0,490.0,608.0,"1,219"
27,SULAWESI TENGGARA,Juni 2024,0.0,7.0,81.0,336.0,498.0,922
28,GORONTALO,Juni 2024,0.0,4.0,24.0,120.0,178.0,326
29,SULAWESI BARAT,Juni 2024,0.0,5.0,28.0,124.0,139.0,296
30,MALUKU,Juni 2024,0.0,6.0,50.0,199.0,326.0,581
31,MALUKU UTARA,Juni 2024,0.0,5.0,45.0,196.0,266.0,512
32,PAPUA,Juni 2024,0.0,8.0,41.0,198.0,241.0,488
33,PAPUA BARAT,Juni 2024,0.0,5.0,29.0,118.0,176.0,328
34,PAPUA SELATAN,Juni 2024,0.0,2.0,17.0,105.0,185.0,309
35,PAPUA TENGAH,Juni 2024,0.0,2.0,33.0,201.0,271.0,507
36,PAPUA PEGUNUNGAN,Juni 2024,0.0,2.0,32.0,414.0,655.0,"1,103"
37,PAPUA BARAT DAYA,Juni 2024,0.0,2.0,28.0,166.0,259.0,455
