NO,NAMA_BALAI,JENIS_PELATIHAN,WAKTU_PELAKSANAAN,ID_PROVINSI,PROVINSI,ID_KABUPATEN,KABUPATEN,ID_KECAMATAN,KECAMATAN,ID_DESA,DESA, JUMLAH 
1,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321620.0,CIKARANG PUSAT,3216202004.0,HEGARMUKTI,2
2,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321602.0,BABELAN,3216022004.0,HURIP JAYA,2
3,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321621.0,SERANG BARU,3212022007.0,JAYAMULYA,2
4,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321611.0,CIKARANG TIMUR,1810052008.0,KARANGSARI,2
5,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321618.0,SETU,3206192010.0,KERTARAHAYU,2
6,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321606.0,TAMBUN SELATAN,3202042002.0,MANGUNJAYA,2
7,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,320225.0,CIBITUNG,3216072004.0,MUKTIWARI,2
8,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321601.0,TARUMAJAYA,3216012006.0,SAMUDRA JAYA,2
9,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321619.0,CIKARANG SELATAN,3206142002.0,SERANG,2
10,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321605.0,TAMBUN UTARA,3216052004.0,SRIAMUR,2
11,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,117201.0,SUKAKARYA,3201262004.0,SUKAKARYA,2
12,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321405.0,SUKATANI,1602022008.0,SUKAMULYA,2
13,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321604.0,TAMBELANG,3216042001.0,SUKAWIJAYA,2
14,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321613.0,PEBAYURAN,3216132004.0,SUMBEREJA,2
15,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3216.0,BEKASI,321608.0,CIKARANG BARAT,3216082010.0,TELAJUNG,2
16,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102.0,MEMPAWAH,610218.0,Mempawah Timur,6102182003.0,Antibar,6
17,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102.0,Mempawah,610207.0,Sungai pinyuh,6102072006.0,Peniraman,8
18,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102.0,Mempawah,610208.0,Jongkat,6102082006.0,Peniti Luar,8
19,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,61,KALIMANTAN BARAT,6102.0,Mempawah,610208.0,Jongkat,6102082001.0,Wajok hilir,8
20,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202002.0,Cikangkareng,3
21,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3202332007.0,Sukamekar,3
22,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202008.0,Batulawang,3
23,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,1209082022.0,Sukajadi,5
24,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320330.0,Leles,3203302011.0,Mandalawangi,3
25,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202005.0,Padasuka,2
26,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202001.0,Pananggapan,3
27,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3202092003.0,Girijaya,2
28,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202014.0,Ciburial,3
29,Jakarta,BUM Desa,31 Januari - 3 Februari 2024,32,JAWA BARAT,3203.0,Cianjur,320320.0,Cibinong,3203202006.0,Cimaskara,3
30,Jakarta,BUM Desa,5 - 8 Maret 2024,32,Jawa Barat,3202.0,Sukabumi,320216.0,Cicurug,3202162009.0,Tenjoayu,3
31,Jakarta,BUM Desa,5 - 8 Maret 2024,32,Jawa Barat,3202.0,Sukabumi,320217.0,Cidahu,3202172001.0,Pondokkaso Tonggoh,3
32,Jakarta,BUM Desa,5 - 8 Maret 2024,32,Jawa Barat,3202.0,Sukabumi,320247.0,Ciambar,3202472006.0,Cibunarjaya,3
33,Jakarta,BUM Desa,5 - 8 Maret 2024,32,Jawa Barat,3202.0,Sukabumi,320127.0,Caringin,3202312008.0,Cikembang,3
34,Jakarta,BUM Desa,5 - 8 Maret 2024,32,Jawa Barat,3202.0,Sukabumi,320232.0,Sukabumi,3202322002.0,Sudajayagirang,3
