Nama_BUMDes,Provinsi,Kabupaten,Kecamatan,Desa,Status,Kategori
BUM DESA MUTIARA JAYA KAMPUNG PAYA,ACEH,ACEH SELATAN,KLUET UTARA,KAMPUNG PAYA,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MADAT LAMKUTA PASI KUALA BA'U,ACEH,ACEH SELATAN,KLUET UTARA,PASI KUALA BA'U,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MAKMUE MEUTANI KAPEH,ACEH,ACEH SELATAN,KLUET SELATAN,KAPEH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA GASEH BEUSAJAN PULO IE,ACEH,ACEH SELATAN,KLUET SELATAN,PULO IE,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA USAHA BARU GAMPONG PASI MEURAPAT,ACEH,ACEH SELATAN,KLUET SELATAN,PASI MEURAPAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BAKAU AIE SAJUAK BAKAU HULU,ACEH,ACEH SELATAN,LABUHAN HAJI,BAKAU HULU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA KUALA BAKAU PADANG BAKAU,ACEH,ACEH SELATAN,LABUHAN HAJI,PADANG BAKAU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA KADAI TALUAK SEJAHTERA PASAR LAMA,ACEH,ACEH SELATAN,LABUHAN HAJI,PASAR LAMA,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA USAHA MANDIRI JAYA TENGAH PISANG,ACEH,ACEH SELATAN,LABUHAN HAJI,TENGAH PISANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA USAHA BERSAMA PISANG,ACEH,ACEH SELATAN,LABUHAN HAJI,PISANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MAJU BERSAMA HULU PISANG,ACEH,ACEH SELATAN,LABUHAN HAJI,HULU PISANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SUWA GAMPONG LEMBAH BARU,ACEH,ACEH SELATAN,LABUHAN HAJI,LEMBAH BARU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA USAHA BERSAMA GUNUNG KETEK,ACEH,ACEH SELATAN,SAMADUA,GUNUNG KETEK,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MADAT MANDIRI MADAT,ACEH,ACEH SELATAN,SAMADUA,MADAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN BERSAMA UJUNG TANAH,ACEH,ACEH SELATAN,SAMADUA,UJUNG TANAH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA LESTARI JAYA LUBUK LAYU,ACEH,ACEH SELATAN,SAMADUA,LUBUK LAYU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BINA USAHA SUAQ HULU,ACEH,ACEH SELATAN,SAMADUA,SUAQ HULU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PAYA RAYA PAYONAN GADANG,ACEH,ACEH SELATAN,SAMADUA,PAYONAN GADANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN BARU,ACEH,ACEH SELATAN,SAMADUA,BARU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN KITA BALAI,ACEH,ACEH SELATAN,SAMADUA,BALAI,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PALA SONETA LHOK PAWOH,ACEH,ACEH SELATAN,SAWANG,LHOK PAWOH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SINAR PAGI PANTON LUAS,ACEH,ACEH SELATAN,SAWANG,PANTON LUAS,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SEPAKAT MAJU LHOK KEUTAPANG,ACEH,ACEH SELATAN,TAPAKTUAN,LHOK KEUTAPANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA KARYA MANDIRI HULU,ACEH,ACEH SELATAN,TAPAKTUAN,HULU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BUNGONG PALA JAMBO APHA,ACEH,ACEH SELATAN,TAPAKTUAN,JAMBO APHA,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN BERSAMA TEPI AIR,ACEH,ACEH SELATAN,TAPAKTUAN,TEPI AIR,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA GLARA PASAR,ACEH,ACEH SELATAN,TAPAKTUAN,PASAR,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TINGKAT TUJUH BATU ITAM,ACEH,ACEH SELATAN,TAPAKTUAN,BATU ITAM,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA LEMBAH NAGA PANJUPIAN,ACEH,ACEH SELATAN,TAPAKTUAN,PANJUPIAN,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PINANG JAYA AIR PINANG,ACEH,ACEH SELATAN,TAPAKTUAN,AIR PINANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MAKMUR BERSAMA LHOK BENGKUANG TIMUR,ACEH,ACEH SELATAN,TAPAKTUAN,LHOK BENGKUANG TIMUR,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HAREUKAT NANGGROE KEUDE TRUMON,ACEH,ACEH SELATAN,TRUMON,KEUDE TRUMON,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA GEUBRINA UJONG TANOH,ACEH,ACEH SELATAN,TRUMON,UJONG TANOH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SANGKANA SIGLENG,ACEH,ACEH SELATAN,TRUMON,SIGLENG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA INDAH BAROE TABINA IE MEUDAMA,ACEH,ACEH SELATAN,TRUMON,IE MEUDAMA,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA ATRA DROE TEUPIN TINGGI,ACEH,ACEH SELATAN,TRUMON,TEUPIN TINGGI,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA JAYA BARONA KUTA BARO,ACEH,ACEH SELATAN,TRUMON,KUTA BARO,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA GUNONG CALOK PANTON BILIE,ACEH,ACEH SELATAN,TRUMON,PANTON BILIE,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PEUMAKMUE NANGGROE KUTA PADANG,ACEH,ACEH SELATAN,TRUMON,KUTA PADANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN BERSAMA RAKET,ACEH,ACEH SELATAN,TRUMON,RAKET,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TEUNGOH TABINA GAMPONG TEUNGOH,ACEH,ACEH SELATAN,TRUMON,GAMPONG TEUNGOH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA JAYA BERSAMA SEUNEUBOK JAYA,ACEH,ACEH SELATAN,TRUMON,SEUNEUBOK JAYA,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SERBA GUNA SILOLO,ACEH,ACEH SELATAN,PASI RAJA,SILOLO,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BUNGONG SEULANGA UJONG BATEE,ACEH,ACEH SELATAN,PASI RAJA,UJONG BATEE,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PASRAN MAKMUE SEJAHTERA PASIE RASIAN,ACEH,ACEH SELATAN,PASI RAJA,PASIE RASIAN,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SAPEU PAKAT LHOK SIALANG RAYEUK,ACEH,ACEH SELATAN,PASI RAJA,LHOK SIALANG RAYEUK,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TEUPIN TABINA TEUPIN GAJAH,ACEH,ACEH SELATAN,PASI RAJA,TEUPIN GAJAH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA SAPEU KHEUN PULO IE II,ACEH,ACEH SELATAN,PASI RAJA,PULO IE II,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TUNAS BARU TENGAH PEULUMAT,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,TENGAH PEULUMAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PUTRO MEUTUPANG PAYA PEULUMAT,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,PAYA PEULUMAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA PADANG PEULUMAT PADANG PEULUMAT,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,PADANG PEULUMAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN JAYA AUR PEULUMAT,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,AUR PEULUMAT,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA HARAPAN MAJU LIMAU SARING,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,LIMAU SARING,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA JASA ILAH DAYA BEUTONG,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,BEUTONG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MAJU BERSAMA PEUNEULOP,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,PEUNEULOP,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA NIKMAT SEMUA GUNUNG ROTAN,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,GUNUNG ROTAN,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BINA BERSAMA KEUMUMU HILIR,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,KEUMUMU HILIR,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA GUNUNG SAYANG KEUMUMU HULU,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,KEUMUMU HULU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TANJUNG HARAPAN KEUMUMU SEBERANG,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,KEUMUMU SEBERANG,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA TERUS MAJU SAWANG INDAH,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,SAWANG INDAH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BEURAWE JAYA KUTA IBOH,ACEH,ACEH SELATAN,LABUHAN HAJI BARAT,KUTA IBOH,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA BUMI PERTIWI BLANG BARU,ACEH,ACEH SELATAN,LABUHAN HAJI BARAT,BLANG BARU,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MATA IE BULEUN SUAK LOKAN,ACEH,ACEH SELATAN,LABUHAN HAJI BARAT,SUAK LOKAN,Dokumen Badan Hukum Terverifikasi,BUM Desa
BUM DESA MEGA MANDIRI MALAKA,ACEH,ACEH SELATAN,KLUET TENGAH,MALAKA,Dokumen Badan Hukum Terverifikasi,BUM Desa
