Kode_Prov,PROVINSI,KABUPATEN,KECAMATAN,Kode_Desa,DESA,NAMA_BUMDESA,Tenaga_Kerja
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022001.0,FAJAR HARAPAN,BUM DESA RIMBA UTAMA FAJAR HARAPAN,
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022003.0,PASI KUALA ASAHAN,BUM DESA GIAT BERSAMA PASI KUALA ASAHAN,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022004.0,GUNUNG PULO,BUM DESA RAMPAK SERANGKAI GUNUNG PULO,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022005.0,PULO IE I,BUM DESA JASA TAHIRO PULO IE I,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022006.0,JAMBO MANYANG,BUM DESA JAMBO ASAHAN JAMBO MANYANG,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022007.0,SIMPANG EMPAT,BUM DESA MAKMUE BEUSARE SIMPANG EMPAT,2.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022008.0,LIMAU PURUT,BUM DESA YAKIN BEUSAREE LIMAU PURUT,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022009.0,PULO KAMBING,BUM DESA TUNAS MUDO PULO KAMBING,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022010.0,KAMPUNG PAYA,BUM DESA MUTIARA JAYA KAMPUNG PAYA,6.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022011.0,KRUENG BATU,BUM DESA SEJAHTERA MANDIRI KRUENG BATU,
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022012.0,KRUENG KLUET,BUM DESA SINAR MUDA KRUENG KLUET,15.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022014.0,KAMPUNG TINGGI,BUM DESA RIZKI BERSAMA KAMPUNG TINGGI,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022016.0,SIMPANG LHEE,BUM DESA MAJU JAYA SIMPANG LHEE,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022017.0,SUAQ GEURINGGENG,BUM DESA MAJU JAYA SUAQ GEURINGGENG,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022018.0,PASI KUALA BA'U,BUM DESA MADAT LAMKUTA PASI KUALA BA'U,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022019.0,KEDAI PADANG,BUM DESA ALMADANI KEDAI PADANG,2.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022020.0,KOTAFAJAR,BUM DESA BUMG COT KEDUNDONG KOTAFAJAR,3.0
11.0,ACEH,ACEH SELATAN,KLUET UTARA,1101022021.0,GUNUNG PUDUNG,BUM DESA HARAPAN BARU GUNUNG PUDUNG,10.0
11.0,ACEH,ACEH SELATAN,MEUKEK,1101052021.0,ALUE MEUTUAH,BUM DESA ALAM JAYA ALUE MEUTUAH,
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062004.0,GUNUNG KETEK,BUM DESA USAHA BERSAMA GUNUNG KETEK,1.0
11.0,ACEH,ACEH SELATAN,SAMA DUA,1101062005.0,LADANG PANTON LUAS,BUM DESA HIJRAH BERSAMA LADANG PANTON LUAS,
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062006.0,MADAT,BUM DESA MADAT MANDIRI MADAT,5.0
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062017.0,LUBUK LAYU,BUM DESA LESTARI JAYA LUBUK LAYU,3.0
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062018.0,SUAQ HULU,BUM DESA BINA USAHA SUAQ HULU,2.0
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062021.0,GADANG,BUM DESA GADANG SEJAHTERA GADANG,2.0
11.0,ACEH,ACEH SELATAN,SAMADUA,1101062022.0,BARU,BUM DESA HARAPAN BARU,5.0
11.0,ACEH,ACEH SELATAN,SAMA DUA,1101062027.0,BALAI,BUM DESA HARAPAN KITA BALAI,4.0
11.0,ACEH,ACEH SELATAN,SAWANG,1101072009.0,PANTON LUAS,BUM DESA SINAR PAGI PANTON LUAS,
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082001.0,LHOK KEUTAPANG,BUM DESA SEPAKAT MAJU LHOK KEUTAPANG,1.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082002.0,HILIR,BUM DESA MAJU JAYA HILIR,1.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082003.0,PADANG,BUM DESA GARUDA MAS PADANG,5.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082004.0,HULU,BUM DESA KARYA MANDIRI HULU,8.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082006.0,TEPI AIR,BUM DESA HARAPAN BERSAMA TEPI AIR,3.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082007.0,PASAR,BUM DESA GLARA PASAR,
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082009.0,PANTON LUAS,BUM DESA ANDESPAL PANTON LUAS,3.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082012.0,BATU ITAM,BUM DESA TINGKAT TUJUH BATU ITAM,4.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082013.0,PANJUPIAN,BUM DESA LEMBAH NAGA PANJUPIAN,5.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082014.0,LHOK RUKAM,BUM DESA KETIBANG LHOK RUKAM,2.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082015.0,AIR PINANG,BUM DESA PINANG JAYA AIR PINANG,3.0
11.0,ACEH,ACEH SELATAN,TAPAKTUAN,1101082016.0,LHOK BENGKUANG TIMUR,BUM DESA MAKMUR BERSAMA LHOK BENGKUANG TIMUR,3.0
11.0,ACEH,ACEH SELATAN,TRUMON,1101092013.0,RAKET,BUM DESA HARAPAN BERSAMA RAKET,3.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102002.0,PUCOK KRUENG,BUM DESA AMANAH DESA PUCOK KRUENG,
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102003.0,SILOLO,BUM DESA SERBA GUNA SILOLO,7.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102004.0,KAMPUNG BARU,BUM DESA BERKAH USAHA MANDIRI KAMPUNG BARU,3.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102009.0,UJONG BATEE,BUM DESA BUNGONG SEULANGA UJONG BATEE,
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102012.0,IE MIRAH,BUM DESA SEPAKAT IE MIRAH,2.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102014.0,UJUNG PADANG RASIAN,BUM DESA RASIAN JAYA UJUNG PADANG RASIAN,1.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102017.0,GAMPONG BARO,BUM DESA MITRA USAHA GAMPONG BARO,3.0
11.0,ACEH,ACEH SELATAN,PASI RAJA,1101102020.0,PULO IE II,BUM DESA SAPEU KHEUN PULO IE II,10.0
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112001.0,TENGAH PEULUMAT,BUM DESA TUNAS BARU TENGAH PEULUMAT,3.0
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112002.0,PAYA PEULUMAT,BUM DESA PUTRO MEUTUPANG PAYA PEULUMAT,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112003.0,PADANG PEULUMAT,BUM DESA PADANG PEULUMAT PADANG PEULUMAT,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112004.0,AUR PEULUMAT,BUM DESA HARAPAN JAYA AUR PEULUMAT,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112005.0,LIMAU SARING,BUM DESA HARAPAN MAJU LIMAU SARING,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112006.0,BEUTONG,BUM DESA JASA ILAH DAYA BEUTONG,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112007.0,PEUNEULOP,BUM DESA MAJU BERSAMA PEUNEULOP,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112008.0,GUNUNG ROTAN,BUM DESA NIKMAT SEMUA GUNUNG ROTAN,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112009.0,KEUMUMU HILIR,BUM DESA BINA BERSAMA KEUMUMU HILIR,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112010.0,KEUMUMU HULU,BUM DESA GUNUNG SAYANG KEUMUMU HULU,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112011.0,KEUMUMU SEBERANG,BUM DESA TANJUNG HARAPAN KEUMUMU SEBERANG,
11.0,ACEH,ACEH SELATAN,LABUHAN HAJI TIMUR,1101112012.0,SAWANG INDAH,BUM DESA TERUS MAJU SAWANG INDAH,
11.0,ACEH,ACEH SELATAN,KLUET TENGAH,1101132009.0,PULO AIR,BUM DESA MEKAR JAYA PULO AIR,3.0
11.0,ACEH,ACEH SELATAN,KLUET TENGAH,1101132011.0,MERSAK,BUM DESA TELAGO BATU MERSAK,3.0
11.0,ACEH,ACEH SELATAN,KLUET TENGAH,1101132012.0,SIMPANG DUA,BUM DESA HARAPAN DUA SIMPANG DUA,7.0
11.0,ACEH,ACEH SELATAN,KLUET TENGAH,1101132013.0,SIMPANG TIGA,BUM DESA UDEP BEUSARE SIMPANG TIGA,7.0
11.0,ACEH,ACEH SELATAN,TRUMON TENGAH,1101182008.0,NACA,BUM DESA SABEE JAYA NACA,
11.0,ACEH,ACEH TENGGARA,LAWE ALAS,1102012009.0,MUARA BARU,BUM DESA MANDIRI JAYA MUARA BARU,
11.0,ACEH,ACEH TENGGARA,DARUL HASANAH,1102072018.0,DARUL MAKMUR,BUM DESA SERI MURNI DARUL MAKMUR,3.0
11.0,ACEH,ACEH TENGGARA,DARUL HASANAH,1102072023.0,LAWE MAMAS INDAH,BUM DESA KARYA DESA LAWE MAMAS INDAH,
11.0,ACEH,ACEH TENGGARA,DARUL HASANAH,1102072027.0,BUNTUL KENDAWI,BUM DESA BUNTUL SEPAKAT BUNTUL KENDAWI,
11.0,ACEH,ACEH TENGGARA,BUKIT TUSAM,1102092004.0,ALUR BULUH,BUM DESA SADE ATE ALUR BULUH,
11.0,ACEH,ACEH TENGGARA,BABUL RAHMAH,1102112030.0,TITI HARAPAN,BUM DESA HARAPAN MAJU TITI HAKHAPEN,
11.0,ACEH,ACEH TIMUR,NURUSSALAM,1103062001.0,KEUDE BAGOK SA,BUM DESA BUMG SEUPAKAT KEUDE BAGOK SA,
11.0,ACEH,ACEH TIMUR,NURUSSALAM,1103062033.0,BUKET MEURAK,BUM DESA SEJAHTERA BUKET MEURAK,
11.0,ACEH,ACEH TIMUR,PEUDAWA,1103162016.0,SEUNEUBOK PEUNTEUT,BUM DESA HARAPAN BARU SEUNEUBOK PEUNTEUT,
11.0,ACEH,ACEH TENGAH,BEBESEN,1104032008.0,KEMILI,BUM DESA KUTE BERANANG KEMILI,
11.0,ACEH,ACEH TENGAH,BEBESEN,1104032027.0,COLO BLANG GELE,BUM DESA BUGE MEKAR COLO BLANG GELE,5.0
11.0,ACEH,ACEH TENGAH,JAGONG JEGET,1104192005.0,JEGET AYU,BUM DESA MUSARA AYU JEGET AYU,
11.0,ACEH,ACEH TENGAH,JAGONG JEGET,1104192006.0,PAYA TUNGEL,BUM DESA TIRTA KAHURIPAN PAYA TUNGEL,5.0
11.0,ACEH,ACEH TENGAH,JAGONG JEGET,1104192010.0,PAYA DEDEP,BUM DESA SUBUR MAKMUR PAYA DEDEP,5.0
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012001.0,SUAK INDRAPURI,BUM DESA KARANG JAYA SUAK INDRAPURI,2.0
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012004.0,KUTA PADANG,BUM DESA KUTA MANDIRI KUTA PADANG,
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012007.0,DRIEN RAMPAK,BUM DESA SAJAN BEUSAREE DRIEN RAMPAK,2.0
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012009.0,PASAR ACEH,BUM DESA PASAR BARU PASAR ACEH,4.0
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012012.0,SEUNEUGOK,BUM DESA USAHA BERSAMA SEUNEUGOK,
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012015.0,LAPANG,BUM DESA USAHA MEURATA LAPANG,
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012016.0,BLANG BEURANDANG,BUM DESA BRANDANG JAYA BLANG BEURANDANG,3.0
11.0,ACEH,ACEH BARAT,JOHAN PAHWALAN,1105012017.0,SUAK RIBEE,BUM DESA MAJU BERSAMA SUAK RIBEE,2.0
11.0,ACEH,ACEH BARAT,KAWAY XVI,1105022017.0,PASI JEUMPA,BUM DESA TUNAS JEUMPA PASI JEUMPA,5.0
11.0,ACEH,ACEH BARAT,SUNGAI MAS,1105032007.0,DRIEN SIBAK,BUM DESA RAKYAT SEJAHTERA DRIEN SIBAK,
11.0,ACEH,ACEH BARAT,SAMATIGA,1105052016.0,LEUBOK,BUM DESA PEUMAKMUE RAKYAT LEUBOK,
11.0,ACEH,ACEH BARAT,SAMATIGA,1105052020.0,PAYA LUMPAT,BUM DESA DESPAL PAYA LUMPAT,
11.0,ACEH,ACEH BARAT,SAMATIGA,1105052032.0,UJONG NGA,BUM DESA MELATI UJONG NGA,
11.0,ACEH,ACEH BARAT,BUBON,1105062004.0,BLANG SIBEUTONG,BUM DESA SAREE TABINA BLANG SIBEUTONG,3.0
11.0,ACEH,ACEH BARAT,WOYLA BARAT,1105102005.0,NAPAI,BUM DESA ANDESNA NAPAI,
11.0,ACEH,ACEH BARAT,WOYLA BARAT,1105102006.0,BLANG COT MAMEH,BUM DESA BAGI RATA BLANG COT MAMEH,
11.0,ACEH,ACEH BARAT,WOYLA BARAT,1105102024.0,SIMPANG KEUMARON,BUM DESA SAREENA SIMPANG KEUMARON,
11.0,ACEH,ACEH BARAT,PANTON REU,1105122007.0,ANTONG,BUM DESA SARE TABINA ANTONG,
11.0,ACEH,ACEH BARAT,PANTON REU,1105122008.0,UJONG RAJA,BUM DESA PANTON RAJA UJONG RAJA,
11.0,ACEH,ACEH BARAT,PANTON REU,1105122014.0,TAMPING,BUM DESA SUMBER JAYA TAMPING,3.0
11.0,ACEH,ACEH BARAT,PANTON REU,1105122018.0,GUNONG MATA IE,BUM DESA SAREE TABINA GUNONG MATA IE,3.0
11.0,ACEH,ACEH BARAT,PANTON REU,1105122019.0,LEK-LEK,BUM DESA MOUDYA DARMA KARYA LEK-LEK,
11.0,ACEH,ACEH BESAR,SEULIMEUM,1106042015.0,SEUNEUBOK,BUM DESA GEURANGSANG SEUNEUBOK,
11.0,ACEH,ACEH BESAR,DARUL IMARAH,1106072028.0,GUE GAJAH,BUM DESA BABUL YAQIN GUE GAJAH,
11.0,ACEH,ACEH BESAR,BLANG BINTANG,1106232010.0,BUENG SIDOM,BUM DESA SIDOM JAYA BUENG SIDOM,13.0
11.0,ACEH,PIDIE,GLUMPANG TIGA,1107062020.0,KAYEE JATOU,BUM DESA JATOU RAYA KAYEE JATOE,
11.0,ACEH,PIDIE,INDRAJAYA,1107072030.0,MESJID BARO,BUM DESA SEJAHTERA BERSAMA MESJID BARO,
11.0,ACEH,PIDIE,KOTA SIGLI,1107092002.0,BENTENG,BUM DESA JAYA BENTENG SIGLI PIDIE ACEH BENTENG,
11.0,ACEH,PIDIE,PIDIE,1107162002.0,LAMPEUDEU TUNONG,BUM DESA MANDIRI BERSAMA LAMPEUDUE TUNONG,
11.0,ACEH,PIDIE,PIDIE,1107162003.0,"PU""UK",BUM DESA PUUK BEUSEUJAHTERA PUUK,
11.0,ACEH,PIDIE,PIDIE,1107162047.0,KEUTUMBU,BUM DESA KEUTUMBU BEUJAYA KEUTUMBU,
11.0,ACEH,PIDIE,TITEUE,1107312009.0,PULO LOIH,BUM DESA MAJU JAYA PULO LHOIH,
11.0,ACEH,ACEH UTARA,BAKTIYA,1108012001.0,KEUDE ALUE IE PUTEH,BUM DESA MAKMUE GAMPONG KEUDE ALUE IE PUTEH,1.0
11.0,ACEH,ACEH UTARA,BAKTIYA,1108012002.0,MEUNASAH ALUE IE PUTEH,BUM DESA GRAK BEUSAREE MEUNASAH ALUE IE PUTEH,
