id,Id_prov,Nama_prov,Bak/Tong Sampah,Balai Kemasyarakatan,Bangunan Air Bersih,Bangunan Irigasi,Bangunan Olahraga,Bangunan Polindes,Bangunan Posyandu,Bangunan Utama Wisata,Bendung Sederhana,Bronjong,Embung,Gedung BUMDES,Gedung Perpustakaan,Gedung Sekolah TK / PAUD,Gorong-gorong,Instalasi Penjernihan Air,Instalasi Pompa Hidram,Jalan Lingkungan,Jalan Poros Desa,Jalan Poros Dusun,Jalan Setapak,Jalan Usaha Tani,Jamban Keluarga,Jaringan Internet untuk Warga Desa,Jembatan Gantung,Jembatan Roda 2,Jembatan Roda 4,Krib pengarah,Lumbung Pangan,MCK,Pangkalan ojek,Pasar,Pembangkit Listrik,Penampungan Air Hujan (PAH),Penerangan Jalan Umum (PJU) / Bantuan Listrik RT,Perbaikan Rumah Tinggal,Perpipaan,PKTD Industri Pengelolahan dan Pergudangan untuk Pangan,PKTD Lain lain,PKTD Perdagangan Logistik dan Pangan,PKTD Perhutanan,PKTD Perikanan,PKTD Pertanian dan perkebunan,PKTD Peternakan,PKTD Prasarana Umum,PKTD Restoran dan Wisata Desa,Saluran Drainase,Saluran Irigasi,Sarpras Lainnya,Sarpras Pendukung Embung,Sarpras Pendukung Olahraga,Sarpras Pendukung Pariwisata,Sarpras Pendukung Pasar,Sarpras Pendukung Perpustakaan,Sarpras Pendukung Polindes,Sarpras Pendukung Posyandu,Sarpras Pendukung TK / PAUD,Sumur,Sumur Resapan / Biofori,Taman bermain / Ruang terbuka Hijau,Tambatan Perahu,Tembok Penahan Tanah,Tempat Pembuangan Sampah,Tempat Pengolahan Sampah,Tempat Penjemuran Tanaman Pangan,Grand Total
1,11,ACEH,10.0,1177,376,93.0,244.0,68.0,179,4.0,6.0,37.0,41.0,56,30.0,174.0,464,43,24.0,1061,721,1224,127.0,2760,169,18.0,48.0,232,494,2.0,302,789,2.0,77.0,49.0,9.0,653,1202,296,5.0,527.0,2.0,3.0,19.0,130.0,10.0,234.0,3.0,1810,1142,3443,41.0,267,38,90,15.0,102.0,111,202,128,11.0,31,20.0,495.0,7.0,2.0,12.0,22161
2,12,SUMATERA UTARA,25.0,263,462,54.0,47.0,22.0,47,2.0,11.0,59.0,20.0,16,34.0,86.0,246,24,5.0,1409,1156,1961,152.0,2962,77,172.0,32.0,142,197,2.0,34,249,0.0,9.0,45.0,24.0,315,123,179,2.0,368.0,1.0,0.0,7.0,27.0,8.0,54.0,2.0,1313,394,1419,3.0,81,39,7,40.0,72.0,161,100,193,5.0,22,14.0,430.0,6.0,11.0,4.0,15446
3,13,SUMATERA BARAT,9.0,45,48,35.0,28.0,50.0,65,5.0,5.0,15.0,6.0,3,14.0,84.0,26,8,5.0,333,190,133,6.0,905,139,23.0,25.0,28,52,1.0,15,74,0.0,10.0,5.0,0.0,34,139,62,1.0,50.0,0.0,0.0,8.0,36.0,9.0,32.0,7.0,178,455,316,7.0,38,73,13,15.0,37.0,104,107,7,1.0,10,2.0,43.0,4.0,4.0,4.0,4186
4,14,RIAU,2.0,79,177,7.0,95.0,25.0,199,4.0,10.0,5.0,12.0,15,21.0,115.0,178,6,4.0,1200,259,323,80.0,614,9,17.0,2.0,182,181,2.0,36,106,0.0,29.0,3.0,8.0,67,43,52,1.0,136.0,0.0,1.0,29.0,88.0,58.0,67.0,0.0,766,54,687,8.0,115,66,31,22.0,25.0,132,135,185,2.0,37,39.0,126.0,1.0,1.0,1.0,6980
5,15,JAMBI,10.0,90,159,18.0,107.0,29.0,85,10.0,3.0,12.0,9.0,15,23.0,110.0,97,11,3.0,505,109,113,149.0,817,28,31.0,48.0,112,57,0.0,38,67,1.0,13.0,6.0,3.0,50,33,42,2.0,53.0,0.0,1.0,14.0,44.0,13.0,16.0,1.0,277,32,559,8.0,121,32,20,13.0,38.0,104,135,111,1.0,18,19.0,58.0,13.0,12.0,1.0,4729
6,16,SUMATERA SELATAN,43.0,139,242,11.0,210.0,56.0,106,4.0,8.0,17.0,16.0,27,14.0,114.0,581,9,7.0,1234,350,656,594.0,1827,60,55.0,44.0,312,145,1.0,7,249,0.0,24.0,11.0,7.0,284,167,101,1.0,125.0,3.0,3.0,34.0,31.0,47.0,33.0,0.0,1122,96,2634,7.0,153,47,30,70.0,107.0,244,232,549,6.0,14,54.0,300.0,10.0,1.0,2.0,13687
7,17,BENGKULU,3.0,111,196,15.0,63.0,15.0,65,6.0,0.0,6.0,7.0,10,22.0,76.0,107,1,2.0,504,96,53,0.0,955,45,22.0,37.0,36,75,2.0,23,81,0.0,1.0,4.0,0.0,231,44,71,2.0,67.0,0.0,0.0,78.0,88.0,79.0,17.0,1.0,327,95,281,8.0,34,34,10,13.0,13.0,61,77,88,0.0,6,0.0,90.0,2.0,1.0,2.0,4459
8,18,LAMPUNG,9.0,172,238,11.0,75.0,27.0,107,3.0,5.0,20.0,17.0,6,10.0,72.0,1192,10,2.0,815,157,339,19.0,2388,130,19.0,19.0,59,210,0.0,15,80,0.0,15.0,0.0,1.0,313,269,87,0.0,203.0,0.0,0.0,8.0,127.0,4.0,577.0,12.0,761,179,1096,5.0,92,49,16,22.0,25.0,77,68,498,0.0,49,3.0,551.0,6.0,0.0,2.0,11341
9,19,KEPULAUAN BANGKA BELITUNG,9.0,5,37,0.0,25.0,3.0,51,1.0,2.0,0.0,2.0,8,3.0,65.0,31,3,1.0,78,18,17,72.0,158,19,6.0,0.0,9,10,0.0,18,29,0.0,4.0,0.0,1.0,13,8,9,0.0,16.0,0.0,0.0,2.0,10.0,1.0,38.0,6.0,122,2,328,3.0,41,53,7,18.0,6.0,73,113,125,0.0,6,7.0,26.0,1.0,4.0,0.0,1723
10,21,KEPULAUAN RIAU,12.0,15,37,0.0,16.0,12.0,52,3.0,1.0,2.0,0.0,7,1.0,27.0,17,1,5.0,139,10,20,4.0,42,6,1.0,0.0,12,12,0.0,29,13,0.0,2.0,5.0,3.0,15,20,16,0.0,14.0,0.0,0.0,14.0,39.0,4.0,24.0,1.0,69,11,169,2.0,16,33,3,2.0,8.0,34,36,18,0.0,3,42.0,34.0,1.0,4.0,1.0,1139
