id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
1,11.0,ACEH,1105.0,ACEH BARAT,21.0,57.0,188.0,54.0,1.0,1,322.0
2,11.0,ACEH,1112.0,ACEH BARAT DAYA,7.0,30.0,112.0,3.0,0.0,0,152.0
3,11.0,ACEH,1106.0,ACEH BESAR,45.0,191.0,355.0,12.0,0.0,1,604.0
4,11.0,ACEH,1114.0,ACEH JAYA,12.0,28.0,115.0,15.0,2.0,0,172.0
5,11.0,ACEH,1101.0,ACEH SELATAN,13.0,37.0,159.0,49.0,2.0,0,260.0
6,11.0,ACEH,1110.0,ACEH SINGKIL,15.0,30.0,40.0,26.0,5.0,0,116.0
7,11.0,ACEH,1116.0,ACEH TAMIANG,39.0,69.0,91.0,16.0,0.0,1,216.0
8,11.0,ACEH,1104.0,ACEH TENGAH,50.0,71.0,148.0,26.0,0.0,0,295.0
9,11.0,ACEH,1102.0,ACEH TENGGARA,5.0,148.0,216.0,13.0,3.0,0,385.0
10,11.0,ACEH,1103.0,ACEH TIMUR,27.0,177.0,278.0,29.0,2.0,0,513.0
11,11.0,ACEH,1108.0,ACEH UTARA,8.0,100.0,542.0,188.0,14.0,0,852.0
12,11.0,ACEH,1117.0,BENER MERIAH,47.0,62.0,98.0,24.0,1.0,0,232.0
13,11.0,ACEH,1111.0,BIREUEN,21.0,139.0,399.0,50.0,0.0,0,609.0
14,11.0,ACEH,1113.0,GAYO LUES,5.0,33.0,80.0,18.0,0.0,0,136.0
15,11.0,ACEH,1171.0,KOTA BANDA ACEH,84.0,6.0,0.0,0.0,0.0,0,90.0
16,11.0,ACEH,1174.0,KOTA LANGSA,14.0,25.0,26.0,1.0,0.0,0,66.0
17,11.0,ACEH,1173.0,KOTA LHOKSEUMAWE,25.0,29.0,14.0,0.0,0.0,0,68.0
18,11.0,ACEH,1172.0,KOTA SABANG,9.0,9.0,0.0,0.0,0.0,0,18.0
19,11.0,ACEH,1175.0,KOTA SUBULUSSALAM,23.0,24.0,28.0,6.0,1.0,0,82.0
20,11.0,ACEH,1115.0,NAGAN RAYA,17.0,66.0,119.0,20.0,0.0,0,222.0
21,11.0,ACEH,1107.0,PIDIE,14.0,114.0,580.0,22.0,0.0,0,730.0
22,11.0,ACEH,1118.0,PIDIE JAYA,14.0,93.0,109.0,4.0,2.0,0,222.0
